Date,Confirmed Cases ,Confirmed Deaths
1/22/2020,1,0
1/23/2020,1,0
1/24/2020,2,0
1/25/2020,2,0
1/26/2020,5,0
1/27/2020,5,0
1/28/2020,5,0
1/29/2020,6,0
1/30/2020,6,0
1/31/2020,8,0
2/1/2020,8,0
2/2/2020,8,0
2/3/2020,11,0
2/4/2020,11,0
2/5/2020,11,0
2/6/2020,12,0
2/7/2020,12,0
2/8/2020,12,0
2/9/2020,12,0
2/10/2020,12,0
2/11/2020,13,0
2/12/2020,13,0
2/13/2020,14,0
2/14/2020,14,0
2/15/2020,14,0
2/16/2020,14,0
2/17/2020,14,0
2/18/2020,14,0
2/19/2020,14,0
2/20/2020,14,0
2/21/2020,16,0
2/22/2020,16,0
2/23/2020,16,0
2/24/2020,16,0
2/25/2020,16,0
2/26/2020,16,0
2/27/2020,17,0
2/28/2020,17,0
2/29/2020,25,1
3/1/2020,32,1
3/2/2020,55,6
3/3/2020,74,7
3/4/2020,107,11
3/5/2020,184,12
3/6/2020,237,14
3/7/2020,403,17
3/8/2020,519,21
3/9/2020,594,22
3/10/2020,782,28
3/11/2020,1147,33
3/12/2020,1586,43
3/13/2020,2219,51
3/14/2020,2978,58
3/15/2020,3212,70
3/16/2020,4679,97
3/17/2020,6512,134
3/18/2020,9169,194
3/19/2020,13663,266
3/20/2020,20030,372
3/21/2020,26025,475
3/22/2020,34944,603
3/23/2020,46096,790
3/24/2020,56714,1033
3/25/2020,68841,1366
3/26/2020,86662,1783
3/27/2020,105253,2305
3/28/2020,127417,3018
3/29/2020,143544,3573
3/30/2020,165698,4280
3/31/2020,192079,5359
4/1/2020,224311,6635
4/2/2020,256541,8146
4/3/2020,289023,9566
4/4/2020,321199,11172
4/5/2020,350803,12790
4/6/2020,382661,14523
4/7/2020,413004,17099
4/8/2020,444153,19250
4/9/2020,480596,21463
4/10/2020,514943,23649
4/11/2020,544221,25790
4/12/2020,571093,27679
4/13/2020,598017,29657
4/14/2020,626412,32132
4/15/2020,652312,34719
4/16/2020,682268,36908
4/17/2020,715425,39007
4/18/2020,743419,40951
4/19/2020,769342,42934
4/20/2020,799022,45179
4/21/2020,825192,47662
4/22/2020,854611,50119
4/23/2020,887379,52543
4/24/2020,919531,54712
4/25/2020,950525,56444
4/26/2020,977072,57850
4/27/2020,1000822,59330
4/28/2020,1025512,61571
4/29/2020,1051732,63962
4/30/2020,1080974,66154
5/1/2020,1115995,68063
5/2/2020,1143819,69804
5/3/2020,1168311,71007
5/4/2020,1192024,72365
5/5/2020,1216353,74586
5/6/2020,1240616,76905
5/7/2020,1268273,78822
5/8/2020,1295546,80594
5/9/2020,1319992,82058
5/10/2020,1339140,83059
5/11/2020,1358174,84093
5/12/2020,1381017,85684
5/13/2020,1401593,87416
5/14/2020,1428125,89197
5/15/2020,1452946,90862
5/16/2020,1477179,92060
5/17/2020,1495977,92891
5/18/2020,1518111,94110
5/19/2020,1538872,95555
5/20/2020,1561595,97052
5/21/2020,1587401,98246
5/22/2020,1611020,99450
5/23/2020,1631999,100524
5/24/2020,1652590,101165
5/25/2020,1671243,101762
5/26/2020,1689819,102418
5/27/2020,1709226,103896
5/28/2020,1730872,104985
5/29/2020,1755607,106103
5/30/2020,1779691,107053
5/31/2020,1799145,107674
6/1/2020,1816110,108445
6/2/2020,1837393,109428
6/3/2020,1857164,110437
6/4/2020,1878887,111443
6/5/2020,1903888,112321
6/6/2020,1925186,112958
6/7/2020,1943599,113415
6/8/2020,1960103,113926
6/9/2020,1978195,114840
6/10/2020,1999263,115716
6/11/2020,2021646,116532
6/12/2020,2046972,117355
6/13/2020,2071944,118077
6/14/2020,2091364,118424
6/15/2020,2109886,118825
6/16/2020,2133725,119612
6/17/2020,2161114,120360
6/18/2020,2189429,121058
6/19/2020,2221126,121684
6/20/2020,2253739,122257
6/21/2020,2279928,122574
6/22/2020,2310901,122952
6/23/2020,2348123,123691
6/24/2020,2384355,124446
6/25/2020,2424724,124994
6/26/2020,2470934,125620
6/27/2020,2512671,126116
6/28/2020,2554533,126437
6/29/2020,2594175,126806
6/30/2020,2642487,127365
7/1/2020,2694054,128063
7/2/2020,2750402,128802
7/3/2020,2803022,129479
7/4/2020,2851968,129781
7/5/2020,2902406,130103
7/6/2020,2945207,130474
7/7/2020,3004064,131616
7/8/2020,3063787,132457
7/9/2020,3124662,133488
7/10/2020,3192440,134304
7/11/2020,3253811,135058
7/12/2020,3314495,135531
7/13/2020,3372055,135966
7/14/2020,3438494,136862
7/15/2020,3506460,137827
7/16/2020,3582499,138788
7/17/2020,3654750,139703
7/18/2020,3718547,140585
7/19/2020,3779996,141061
7/20/2020,3840208,141590
7/21/2020,3905790,142686
7/22/2020,3976175,143911
7/23/2020,4044432,144997
7/24/2020,4118581,146091
7/25/2020,4185580,147060
7/26/2020,4241736,147594
7/27/2020,4297906,148694
7/28/2020,4361600,149916
7/29/2020,4429975,151356
7/30/2020,4497941,152645
7/31/2020,4566409,153828
8/1/2020,4625541,154947
8/2/2020,4671547,155404
8/3/2020,4716831,155963
8/4/2020,4771805,157218
8/5/2020,4827688,158626
8/6/2020,4884919,159807
8/7/2020,4945982,161098
8/8/2020,5001158,162185
8/9/2020,5049295,162757
8/10/2020,5094516,163274
8/11/2020,5147116,164371
8/12/2020,5199918,165886
8/13/2020,5251447,166924
8/14/2020,5316520,168233
8/15/2020,5366176,169278
8/16/2020,5406280,169886
8/17/2020,5441942,170355
8/18/2020,5484847,171578
8/19/2020,5529110,172865
8/20/2020,5573699,173972
8/21/2020,5622488,175073
8/22/2020,5666892,176052
8/23/2020,5701458,176547
8/24/2020,5736339,176989
8/25/2020,5777266,178223
8/26/2020,5821222,179401
8/27/2020,5867210,180516
8/28/2020,5913745,181457
8/29/2020,5957986,182440
8/30/2020,5992914,182889
8/31/2020,6025528,183383
9/1/2020,6068471,184444
9/2/2020,6109113,185496
9/3/2020,6153466,186527
9/4/2020,6204155,187506
9/5/2020,6247664,188326
9/6/2020,6278714,188766
9/7/2020,6302612,189086
9/8/2020,6328301,189554
9/9/2020,6362838,190659
9/10/2020,6398736,191583
9/11/2020,6446756,192739
9/12/2020,6488444,193488
9/13/2020,6522977,193888
9/14/2020,6556144,194311
9/15/2020,6595687,195513
9/16/2020,6634561,196468
9/17/2020,6679812,197334
9/18/2020,6729034,198294
9/19/2020,6771773,199005
9/20/2020,6810690,199275
9/21/2020,6861284,199688
9/22/2020,6901445,200723
9/23/2020,6940297,201788
9/24/2020,6987772,202695
9/25/2020,7036320,203610
9/26/2020,7081250,204393
9/27/2020,7119404,204705
9/28/2020,7151853,205046
9/29/2020,7195367,205948
9/30/2020,7234446,206880
10/1/2020,7280542,207796
10/2/2020,7335672,208637
10/3/2020,7386331,209323
10/4/2020,7420963,209692
10/5/2020,7459194,210174
10/6/2020,7504413,210875
10/7/2020,7555630,211794
10/8/2020,7614545,212776
10/9/2020,7671295,213749
10/10/2020,7727035,214409
10/11/2020,7773867,214876
10/12/2020,7815599,215274
10/13/2020,7866690,216051
10/14/2020,7925992,217050
10/15/2020,7991106,217895
10/16/2020,8060228,218838
10/17/2020,8117920,219658
10/18/2020,8168910,220121
10/19/2020,8235649,220611
10/20/2020,8297346,221548
10/21/2020,8360667,222722
10/22/2020,8436892,223579
10/23/2020,8519370,224529
10/24/2020,8603098,225492
10/25/2020,8665765,225950
10/26/2020,8731741,226472
10/27/2020,8808902,227483
10/28/2020,8888170,228517
10/29/2020,8979389,229520
10/30/2020,9079480,230584
10/31/2020,9170216,231515
11/1/2020,9275861,232018
11/2/2020,9359194,232575
11/3/2020,9487028,234172
11/4/2020,9591203,235292
11/5/2020,9721219,236457
11/6/2020,9849031,237671
11/7/2020,9981155,238788
11/8/2020,10096510,239351
11/9/2020,10214556,240110
11/10/2020,10354827,241526
11/11/2020,10504315,242969
11/12/2020,10666081,244173
11/13/2020,10847207,245373
11/14/2020,11019491,246746
11/15/2020,11157404,247534
11/16/2020,11316582,248348
11/17/2020,11480745,250057
11/18/2020,11654158,251999
11/19/2020,11846057,254041
11/20/2020,12047493,255990
11/21/2020,12229527,257628
11/22/2020,12376174,258689
11/23/2020,12548120,259762
11/24/2020,12725355,261898
11/25/2020,12910248,264151
11/26/2020,13028634,265554
11/27/2020,13231655,267106
11/28/2020,13390411,268464
11/29/2020,13531251,269515
11/30/2020,13686941,270827
12/1/2020,13880976,273379
12/2/2020,14085477,276209
12/3/2020,14309633,279178
12/4/2020,14544946,281790
12/5/2020,14766853,284180
12/6/2020,14946070,285583
12/7/2020,15136219,287142
12/8/2020,15367167,289725
12/9/2020,15588302,292906
12/10/2020,15822975,295892
12/11/2020,16063231,299273
